size,throughput
2900000,24528.784597
3000000,24692.802502
3100000,22376.538812
3200000,22527.470065
3300000,26774.958434
3400000,22814.569342
3500000,23638.544853
3600000,23918.351638
3700000,23564.675347
3800000,23735.110913
3900000,23386.013457
4000000,21990.589096
4100000,22608.573739
4200000,22399.843344
4300000,21742.029009
4400000,22100.067480
4500000,22400.393591
4600000,21331.194074
4700000,20673.513502
4800000,21741.239130
4900000,21385.036783
5000000,21225.429197
5100000,21179.158812
5200000,21831.605972
5300000,18692.294471
5400000,21210.189181
5500000,18557.623115
5600000,18729.027299
5700000,18852.198063
5800000,18360.296996
5900000,18852.263023
6000000,18368.481368
6100000,18402.830814
6200000,18118.969530
6300000,17743.130287
6400000,16672.732304
6500000,17376.119276
6600000,16721.117014
6700000,17297.810005
6800000,17220.944755
6900000,16753.109559
7000000,16093.173997
7100000,16563.589027
7200000,15097.843073
7300000,15968.752340
7400000,16006.626707
7500000,15620.031965
7600000,15829.609083
7700000,15282.537520
7800000,15134.201198
7900000,15411.329982
8000000,15172.345365
8100000,15412.161491
8200000,15139.211753
8300000,15688.621021
8400000,14333.083927
8500000,14709.266220
8600000,14311.480961
8700000,14676.236792
8800000,13127.712050
8900000,14688.336504
9000000,14034.291663
9100000,15025.875864
9200000,13535.826854
9300000,14827.552308
9400000,14383.443727
9500000,15016.634193
9600000,13971.311034
9700000,14772.161574
9800000,13944.255517
9900000,14499.099856
10000000,14120.096282
1,19.830097
101,1806.068120
201,3266.655809
301,4340.871056
401,5312.604491
501,6442.528255
601,7873.569098
701,8720.518620
801,9975.297804
901,10798.580877
1001,11826.672416
1101,12421.653296
1201,13328.479526
1301,13991.793631
1401,15016.328519
1501,15125.862205
1601,15250.254639
1701,15255.374499
1801,15694.035035
1901,16082.723261
2001,16392.392527
2101,16763.335176
2201,16865.482144
2301,16832.826336
2401,17196.011933
2501,17863.777587
2601,18208.138934
2701,18231.389431
2801,18233.140146
2901,19016.777793
3001,19354.770599
3101,19448.699914
3201,19971.654487
3301,20022.666373
3401,20959.326868
3501,20884.570957
3601,20933.399146
3701,21567.742874
3801,21230.639569
3901,21560.977123
4001,22020.135529
4101,21235.648814
4201,21488.014388
4301,21276.335435
4401,21458.253891
4501,21938.192644
4601,21602.599663
4701,21927.776360
4801,23068.609250
4901,23356.824650
5000,23178.392717
6000,23392.376964
7000,22698.639768
8000,23095.910740
9000,23487.092354
10000,23455.616371
11000,22794.864055
12000,24836.072379
13000,26089.223789
14000,25659.180957
15000,25652.042966
16000,25581.068698
17000,26387.022716
18000,26481.808734
19000,24397.854564
20000,23408.980047
21000,24205.276957
22000,24772.679631
23000,26666.724286
24000,27020.395363
25000,26716.162935
26000,27713.106822
27000,27640.739549
28000,28072.724267
29000,25554.474767
30000,25535.794126
31000,26383.580513
32000,26533.324829
33000,36211.538274
34000,36017.578956
35000,37415.789375
36000,37031.713450
37000,35523.665545
38000,36333.032862
39000,36303.831106
40000,34937.612062
41000,35239.222033
42000,34310.596916
43000,33874.424159
44000,36441.920521
45000,35942.704087
46000,35283.058926
47000,35640.682813
48000,35879.474817
49000,34295.511480
50000,36570.392249
51000,34166.600686
52000,34095.142812
53000,33391.745869
54000,34728.023671
55000,36026.067386
56000,35823.522853
57000,35908.769816
58000,36510.563730
59000,34927.110132
60000,36387.613209
61000,34840.400463
62000,36135.208411
63000,34189.161423
64000,34666.185674
65000,36107.258908
66000,32772.860735
67000,33068.807087
68000,32937.270067
69000,30190.648842
70000,30626.864107
71000,31894.130169
72000,33366.458535
73000,33309.606525
74000,30614.351077
75000,30713.931379
76000,30913.886352
77000,33919.604133
78000,32212.718602
79000,30975.994396
80000,30647.515185
81000,30765.488200
82000,32011.180048
83000,33651.414020
84000,33914.750781
85000,31294.678224
86000,30900.157568
87000,34154.589236
88000,33999.629615
89000,30123.873691
90000,31390.704369
91000,31466.786832
92000,31384.776210
93000,34431.401683
94000,32173.425391
95000,31839.483627
96000,31158.556237
97000,31138.118956
98000,33921.267637
99000,33581.299727
100000,34404.921664
101000,31472.329212
102000,28077.189207
103000,34450.963941
104000,34511.944894
105000,34322.885560
106000,31231.726394
107000,31720.485312
108000,31711.340614
109000,34460.431691
110000,34413.741895
111000,31627.646640
112000,31401.665288
113000,31788.275273
114000,33846.586910
115000,34186.306734
116000,34077.564465
117000,31202.342825
118000,31423.402294
119000,33060.313272
120000,33995.722630
121000,34378.940437
122000,32140.884925
123000,30651.506383
124000,32030.221125
125000,34874.429143
126000,34580.494657
127000,32028.442991
128000,31443.993307
129000,31585.815059
130000,34493.111733
131000,33780.147356
132000,30767.273211
133000,30851.272855
134000,30742.903602
135000,31023.773999
136000,31167.767335
137000,31323.039189
138000,31078.123441
139000,31040.454396
140000,31444.598824
