threads;size;schedule;time
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000051
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000053
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000055
3;1000;schedule(static);0.000051
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000054
3;1000;schedule(static);0.000059
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000053
3;1000;schedule(static);0.000081
3;1000;schedule(static);0.000055
3;1000;schedule(static);0.000055
3;1000;schedule(static);0.000054
3;1000;schedule(static);0.000058
3;1000;schedule(static);0.000052
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000051
3;1000;schedule(static);0.000055
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000066
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000060
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000056
3;1000;schedule(static);0.000073
3;1000;schedule(static);0.000053
3;1000;schedule(static);0.000056
3;1000;schedule(static);0.000052
3;1000;schedule(static);0.000051
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000049
4;1000;schedule(static);0.000135
4;1000;schedule(static);0.000107
4;1000;schedule(static);0.000080
4;1000;schedule(static);0.000077
4;1000;schedule(static);0.000079
4;1000;schedule(static);0.000073
4;1000;schedule(static);0.000084
4;1000;schedule(static);0.000073
4;1000;schedule(static);0.000063
4;1000;schedule(static);0.000073
4;1000;schedule(static);0.000054
4;1000;schedule(static);0.000061
4;1000;schedule(static);0.000055
4;1000;schedule(static);0.000061
4;1000;schedule(static);0.000048
4;1000;schedule(static);0.000059
4;1000;schedule(static);0.000052
4;1000;schedule(static);0.000051
4;1000;schedule(static);0.000050
4;1000;schedule(static);0.000056
4;1000;schedule(static);0.000050
4;1000;schedule(static);0.000061
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000053
4;1000;schedule(static);0.000058
4;1000;schedule(static);0.000051
4;1000;schedule(static);0.000060
4;1000;schedule(static);0.000051
4;1000;schedule(static);0.000046
4;1000;schedule(static);0.000048
4;1000;schedule(static);0.000054
4;1000;schedule(static);0.000050
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000053
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000048
4;1000;schedule(static);0.000052
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000054
4;1000;schedule(static);0.000051
4;1000;schedule(static);0.000056
4;1000;schedule(static);0.000048
4;1000;schedule(static);0.000052
4;1000;schedule(static);0.000060
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000062
4;1000;schedule(static);0.000050
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000055
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000051
4;1000;schedule(static);0.000050
4;1000;schedule(static);0.000052
4;1000;schedule(static);0.000058
4;1000;schedule(static);0.000052
4;1000;schedule(static);0.000056
4;1000;schedule(static);0.000050
4;1000;schedule(static);0.000055
4;1000;schedule(static);0.000048
4;1000;schedule(static);0.000050
4;1000;schedule(static);0.000055
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000059
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000054
4;1000;schedule(static);0.000050
4;1000;schedule(static);0.000054
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000057
4;1000;schedule(static);0.000048
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000059
4;1000;schedule(static);0.000051
4;1000;schedule(static);0.000048
4;1000;schedule(static);0.000059
4;1000;schedule(static);0.000054
4;1000;schedule(static);0.000056
4;1000;schedule(static);0.000054
4;1000;schedule(static);0.000053
4;1000;schedule(static);0.000050
4;1000;schedule(static);0.000057
4;1000;schedule(static);0.000051
4;1000;schedule(static);0.000056
4;1000;schedule(static);0.000051
4;1000;schedule(static);0.000049
4;1000;schedule(static);0.000050
4;1000;schedule(static);0.000057
4;1000;schedule(static);0.000048
4;1000;schedule(static);0.000071
4;1000;schedule(static);0.000057
4;1000;schedule(static);0.000063
4;1000;schedule(static);0.000053
4;1000;schedule(static);0.000057
4;1000;schedule(static);0.000051
4;1000;schedule(static);0.000048
4;1000;schedule(static);0.000047
4;1000;schedule(static);0.000059
4;1000;schedule(static);0.000051
4;1000;schedule(static);0.000058
5;1000;schedule(static);0.000203
5;1000;schedule(static);0.000074
5;1000;schedule(static);0.000089
5;1000;schedule(static);0.000070
5;1000;schedule(static);0.000073
5;1000;schedule(static);0.000067
5;1000;schedule(static);0.000088
5;1000;schedule(static);0.000071
5;1000;schedule(static);0.000073
5;1000;schedule(static);0.000070
5;1000;schedule(static);0.000073
5;1000;schedule(static);0.000056
5;1000;schedule(static);0.000064
5;1000;schedule(static);0.000049
5;1000;schedule(static);0.000059
5;1000;schedule(static);0.000060
5;1000;schedule(static);0.000065
5;1000;schedule(static);0.000055
5;1000;schedule(static);0.000058
5;1000;schedule(static);0.000055
5;1000;schedule(static);0.000064
5;1000;schedule(static);0.000052
5;1000;schedule(static);0.000063
5;1000;schedule(static);0.000053
5;1000;schedule(static);0.000060
5;1000;schedule(static);0.000057
5;1000;schedule(static);0.000061
5;1000;schedule(static);0.000052
5;1000;schedule(static);0.000064
5;1000;schedule(static);0.000055
5;1000;schedule(static);0.000061
5;1000;schedule(static);0.000053
5;1000;schedule(static);0.000060
5;1000;schedule(static);0.000051
5;1000;schedule(static);0.000056
5;1000;schedule(static);0.000054
5;1000;schedule(static);0.000057
5;1000;schedule(static);0.000050
5;1000;schedule(static);0.000059
5;1000;schedule(static);0.000058
5;1000;schedule(static);0.000054
5;1000;schedule(static);0.000059
5;1000;schedule(static);0.000050
5;1000;schedule(static);0.000063
5;1000;schedule(static);0.000058
5;1000;schedule(static);0.000063
5;1000;schedule(static);0.000051
5;1000;schedule(static);0.000059
5;1000;schedule(static);0.000057
5;1000;schedule(static);0.000060
5;1000;schedule(static);0.000052
5;1000;schedule(static);0.000056
5;1000;schedule(static);0.000052
5;1000;schedule(static);0.000062
5;1000;schedule(static);0.000056
5;1000;schedule(static);0.000061
5;1000;schedule(static);0.000052
5;1000;schedule(static);0.000058
5;1000;schedule(static);0.000054
5;1000;schedule(static);0.000057
5;1000;schedule(static);0.000052
5;1000;schedule(static);0.000063
5;1000;schedule(static);0.000050
5;1000;schedule(static);0.000061
5;1000;schedule(static);0.000053
5;1000;schedule(static);0.000059
5;1000;schedule(static);0.000051
5;1000;schedule(static);0.000059
5;1000;schedule(static);0.000052
5;1000;schedule(static);0.000061
5;1000;schedule(static);0.000050
5;1000;schedule(static);0.000058
5;1000;schedule(static);0.000052
5;1000;schedule(static);0.000060
5;1000;schedule(static);0.000053
5;1000;schedule(static);0.000057
5;1000;schedule(static);0.000055
5;1000;schedule(static);0.000055
5;1000;schedule(static);0.000060
5;1000;schedule(static);0.000052
5;1000;schedule(static);0.000054
5;1000;schedule(static);0.000065
5;1000;schedule(static);0.000050
5;1000;schedule(static);0.000058
5;1000;schedule(static);0.000050
5;1000;schedule(static);0.000059
5;1000;schedule(static);0.000053
5;1000;schedule(static);0.000058
5;1000;schedule(static);0.000056
5;1000;schedule(static);0.000061
5;1000;schedule(static);0.000055
5;1000;schedule(static);0.000065
5;1000;schedule(static);0.000057
5;1000;schedule(static);0.000058
5;1000;schedule(static);0.000064
5;1000;schedule(static);0.000068
5;1000;schedule(static);0.000056
5;1000;schedule(static);0.000063
5;1000;schedule(static);0.000057
5;1000;schedule(static);0.000061
6;1000;schedule(static);0.000184
6;1000;schedule(static);0.000090
6;1000;schedule(static);0.000085
6;1000;schedule(static);0.000095
6;1000;schedule(static);0.000085
6;1000;schedule(static);0.000083
6;1000;schedule(static);0.000079
6;1000;schedule(static);0.000104
6;1000;schedule(static);0.000086
6;1000;schedule(static);0.000078
6;1000;schedule(static);0.000069
6;1000;schedule(static);0.000076
6;1000;schedule(static);0.000071
6;1000;schedule(static);0.000060
6;1000;schedule(static);0.000073
6;1000;schedule(static);0.000062
6;1000;schedule(static);0.000065
6;1000;schedule(static);0.000069
6;1000;schedule(static);0.000056
6;1000;schedule(static);0.000068
6;1000;schedule(static);0.000068
6;1000;schedule(static);0.000067
6;1000;schedule(static);0.000066
6;1000;schedule(static);0.000077
6;1000;schedule(static);0.000069
6;1000;schedule(static);0.000067
6;1000;schedule(static);0.000063
6;1000;schedule(static);0.000077
6;1000;schedule(static);0.000064
6;1000;schedule(static);0.000060
6;1000;schedule(static);0.000071
6;1000;schedule(static);0.000055
6;1000;schedule(static);0.000071
6;1000;schedule(static);0.000062
6;1000;schedule(static);0.000058
6;1000;schedule(static);0.000063
6;1000;schedule(static);0.000056
6;1000;schedule(static);0.000069
6;1000;schedule(static);0.000057
6;1000;schedule(static);0.000070
6;1000;schedule(static);0.000055
6;1000;schedule(static);0.000065
6;1000;schedule(static);0.000056
6;1000;schedule(static);0.000065
6;1000;schedule(static);0.000052
6;1000;schedule(static);0.000066
6;1000;schedule(static);0.000066
6;1000;schedule(static);0.000065
6;1000;schedule(static);0.000060
6;1000;schedule(static);0.000068
6;1000;schedule(static);0.000061
6;1000;schedule(static);0.000072
6;1000;schedule(static);0.000061
6;1000;schedule(static);0.000068
6;1000;schedule(static);0.000072
6;1000;schedule(static);0.000060
6;1000;schedule(static);0.000068
6;1000;schedule(static);0.000078
6;1000;schedule(static);0.000064
6;1000;schedule(static);0.000069
6;1000;schedule(static);0.000068
6;1000;schedule(static);0.000072
6;1000;schedule(static);0.000061
6;1000;schedule(static);0.000075
6;1000;schedule(static);0.000060
6;1000;schedule(static);0.000071
6;1000;schedule(static);0.000064
6;1000;schedule(static);0.000068
6;1000;schedule(static);0.000080
6;1000;schedule(static);0.000063
6;1000;schedule(static);0.000071
6;1000;schedule(static);0.000056
6;1000;schedule(static);0.000067
6;1000;schedule(static);0.000065
6;1000;schedule(static);0.000068
6;1000;schedule(static);0.000068
6;1000;schedule(static);0.000074
6;1000;schedule(static);0.000060
6;1000;schedule(static);0.000068
6;1000;schedule(static);0.000063
6;1000;schedule(static);0.000069
6;1000;schedule(static);0.000067
6;1000;schedule(static);0.000066
6;1000;schedule(static);0.000060
6;1000;schedule(static);0.000072
6;1000;schedule(static);0.000058
6;1000;schedule(static);0.000064
6;1000;schedule(static);0.000072
6;1000;schedule(static);0.000069
6;1000;schedule(static);0.000058
6;1000;schedule(static);0.000069
6;1000;schedule(static);0.000068
6;1000;schedule(static);0.000070
6;1000;schedule(static);0.000059
6;1000;schedule(static);0.000066
6;1000;schedule(static);0.000067
6;1000;schedule(static);0.000064
6;1000;schedule(static);0.000061
6;1000;schedule(static);0.000073
6;1000;schedule(static);0.000070
7;1000;schedule(static);0.000203
7;1000;schedule(static);0.000092
7;1000;schedule(static);0.000090
7;1000;schedule(static);0.000090
7;1000;schedule(static);0.000078
7;1000;schedule(static);0.000079
7;1000;schedule(static);0.000091
7;1000;schedule(static);0.000082
7;1000;schedule(static);0.000078
7;1000;schedule(static);0.000062
7;1000;schedule(static);0.000082
7;1000;schedule(static);0.000068
7;1000;schedule(static);0.000056
7;1000;schedule(static);0.000069
7;1000;schedule(static);0.000057
7;1000;schedule(static);0.000068
7;1000;schedule(static);0.000059
7;1000;schedule(static);0.000066
7;1000;schedule(static);0.000056
7;1000;schedule(static);0.000065
7;1000;schedule(static);0.000054
7;1000;schedule(static);0.000061
7;1000;schedule(static);0.000067
7;1000;schedule(static);0.000051
7;1000;schedule(static);0.000063
7;1000;schedule(static);0.000063
7;1000;schedule(static);0.000054
7;1000;schedule(static);0.000060
7;1000;schedule(static);0.000067
7;1000;schedule(static);0.000055
7;1000;schedule(static);0.000063
7;1000;schedule(static);0.000063
7;1000;schedule(static);0.000067
7;1000;schedule(static);0.000060
7;1000;schedule(static);0.000076
7;1000;schedule(static);0.000057
7;1000;schedule(static);0.000063
7;1000;schedule(static);0.000066
7;1000;schedule(static);0.000057
7;1000;schedule(static);0.000063
7;1000;schedule(static);0.000068
7;1000;schedule(static);0.000056
7;1000;schedule(static);0.000067
7;1000;schedule(static);0.000073
7;1000;schedule(static);0.000067
7;1000;schedule(static);0.000072
7;1000;schedule(static);0.000055
7;1000;schedule(static);0.000064
7;1000;schedule(static);0.000064
7;1000;schedule(static);0.000061
7;1000;schedule(static);0.000064
7;1000;schedule(static);0.000054
7;1000;schedule(static);0.000064
7;1000;schedule(static);0.000054
7;1000;schedule(static);0.000066
7;1000;schedule(static);0.000057
7;1000;schedule(static);0.000060
7;1000;schedule(static);0.000069
7;1000;schedule(static);0.000076
7;1000;schedule(static);0.000063
7;1000;schedule(static);0.000070
7;1000;schedule(static);0.000067
7;1000;schedule(static);0.000063
7;1000;schedule(static);0.000078
7;1000;schedule(static);0.000066
7;1000;schedule(static);0.000067
7;1000;schedule(static);0.000065
7;1000;schedule(static);0.000068
7;1000;schedule(static);0.000058
7;1000;schedule(static);0.000074
7;1000;schedule(static);0.000079
7;1000;schedule(static);0.000062
7;1000;schedule(static);0.000073
7;1000;schedule(static);0.000055
7;1000;schedule(static);0.000059
7;1000;schedule(static);0.000066
7;1000;schedule(static);0.000065
7;1000;schedule(static);0.000056
7;1000;schedule(static);0.000062
7;1000;schedule(static);0.000064
7;1000;schedule(static);0.000054
7;1000;schedule(static);0.000063
7;1000;schedule(static);0.000066
7;1000;schedule(static);0.000056
7;1000;schedule(static);0.000064
7;1000;schedule(static);0.000064
7;1000;schedule(static);0.000058
7;1000;schedule(static);0.000068
7;1000;schedule(static);0.000073
7;1000;schedule(static);0.000055
7;1000;schedule(static);0.000067
7;1000;schedule(static);0.000056
7;1000;schedule(static);0.000066
7;1000;schedule(static);0.000054
7;1000;schedule(static);0.000072
7;1000;schedule(static);0.000057
7;1000;schedule(static);0.000066
7;1000;schedule(static);0.000055
7;1000;schedule(static);0.000066
7;1000;schedule(static);0.000071
8;1000;schedule(static);0.000234
8;1000;schedule(static);0.000085
8;1000;schedule(static);0.000110
8;1000;schedule(static);0.000116
8;1000;schedule(static);0.000078
8;1000;schedule(static);0.000087
8;1000;schedule(static);0.000090
8;1000;schedule(static);0.000088
8;1000;schedule(static);0.000094
8;1000;schedule(static);0.000076
8;1000;schedule(static);0.000076
8;1000;schedule(static);0.000073
8;1000;schedule(static);0.000081
8;1000;schedule(static);0.000070
8;1000;schedule(static);0.000060
8;1000;schedule(static);0.000070
8;1000;schedule(static);0.000079
8;1000;schedule(static);0.000078
8;1000;schedule(static);0.000080
8;1000;schedule(static);0.000073
8;1000;schedule(static);0.000073
8;1000;schedule(static);0.000061
8;1000;schedule(static);0.000067
8;1000;schedule(static);0.000077
8;1000;schedule(static);0.000065
8;1000;schedule(static);0.000073
8;1000;schedule(static);0.000066
8;1000;schedule(static);0.000079
8;1000;schedule(static);0.000059
8;1000;schedule(static);0.000069
8;1000;schedule(static);0.000071
8;1000;schedule(static);0.000059
8;1000;schedule(static);0.000069
8;1000;schedule(static);0.000075
8;1000;schedule(static);0.000059
8;1000;schedule(static);0.000070
8;1000;schedule(static);0.000069
8;1000;schedule(static);0.000063
8;1000;schedule(static);0.000071
8;1000;schedule(static);0.000072
8;1000;schedule(static);0.000059
8;1000;schedule(static);0.000074
8;1000;schedule(static);0.000059
8;1000;schedule(static);0.000069
8;1000;schedule(static);0.000068
8;1000;schedule(static);0.000061
8;1000;schedule(static);0.000069
8;1000;schedule(static);0.000072
8;1000;schedule(static);0.000061
8;1000;schedule(static);0.000066
8;1000;schedule(static);0.000068
8;1000;schedule(static);0.000072
8;1000;schedule(static);0.000067
8;1000;schedule(static);0.000057
8;1000;schedule(static);0.000071
8;1000;schedule(static);0.000063
8;1000;schedule(static);0.000069
8;1000;schedule(static);0.000059
8;1000;schedule(static);0.000067
8;1000;schedule(static);0.000074
8;1000;schedule(static);0.000060
8;1000;schedule(static);0.000071
8;1000;schedule(static);0.000077
8;1000;schedule(static);0.000060
8;1000;schedule(static);0.000071
8;1000;schedule(static);0.000068
8;1000;schedule(static);0.000059
8;1000;schedule(static);0.000069
8;1000;schedule(static);0.000066
8;1000;schedule(static);0.000058
8;1000;schedule(static);0.000068
