bucket_size;threads;algorithm;generating;splitting;sorting;writing;overall
56;1;3;0.006326;0.010853;0.011127;0.000961;0.024348
56;1;3;0.004769;0.010821;0.010731;0.001322;0.024011
57;1;3;0.005091;0.011222;0.011238;0.001132;0.024527
57;1;3;0.006275;0.010510;0.011677;0.000913;0.024550
57;1;3;0.005030;0.010361;0.011135;0.000926;0.023268
58;1;3;0.006511;0.013210;0.012784;0.000923;0.028068
58;1;3;0.006899;0.010612;0.012498;0.001322;0.025857
58;1;3;0.004733;0.011507;0.013386;0.001058;0.026843
59;1;3;0.006032;0.012271;0.011387;0.000918;0.025864
59;1;3;0.006130;0.011780;0.011176;0.000994;0.025006
59;1;3;0.004819;0.011126;0.011701;0.001033;0.024760
60;1;3;0.005781;0.012609;0.011196;0.000880;0.025661
60;1;3;0.006232;0.011943;0.011768;0.001002;0.025543
60;1;3;0.004897;0.010796;0.011525;0.001170;0.024463
61;1;3;0.005548;0.011256;0.011109;0.000884;0.024223
61;1;3;0.006686;0.011561;0.011781;0.000885;0.025056
61;1;3;0.004740;0.010487;0.012001;0.000894;0.024445
62;1;3;0.005117;0.011313;0.011383;0.000882;0.024393
62;1;3;0.006461;0.010876;0.011397;0.001045;0.024153
62;1;3;0.004986;0.010685;0.011654;0.000960;0.024206
63;1;3;0.005696;0.012561;0.011939;0.000931;0.026350
63;1;3;0.006821;0.012606;0.012494;0.000941;0.026964
63;1;3;0.005210;0.011311;0.012822;0.000997;0.026183
64;1;3;0.005236;0.011449;0.016373;0.001397;0.030220
64;1;3;0.008832;0.013497;0.013888;0.000945;0.029386
64;1;3;0.005128;0.013073;0.012092;0.000942;0.026950
65;1;3;0.005694;0.012668;0.012250;0.000938;0.026800
65;1;3;0.006734;0.010797;0.011594;0.001187;0.024362
65;1;3;0.005070;0.010733;0.011416;0.000884;0.023779
66;1;3;0.005425;0.011221;0.011806;0.000897;0.024772
66;1;3;0.006550;0.012888;0.012128;0.000903;0.026719
66;1;3;0.006770;0.010362;0.011324;0.001053;0.023638
67;1;3;0.005761;0.012242;0.014303;0.001048;0.028471
67;1;3;0.006563;0.011208;0.012141;0.000935;0.025050
67;1;3;0.005657;0.012374;0.013196;0.001163;0.027853
68;1;3;0.005856;0.012696;0.013221;0.001043;0.027933
68;1;3;0.006939;0.011256;0.011862;0.000931;0.024809
68;1;3;0.005512;0.010724;0.012751;0.000887;0.025107
69;1;3;0.005912;0.012938;0.013337;0.001049;0.028190
69;1;3;0.006417;0.011338;0.011796;0.000991;0.024826
69;1;3;0.004810;0.010652;0.012145;0.000912;0.024598
70;1;3;0.005204;0.012229;0.012025;0.000886;0.025821
70;1;3;0.006588;0.010246;0.011913;0.000880;0.023728
70;1;3;0.004808;0.010095;0.012591;0.001177;0.024569
71;1;3;0.004809;0.011258;0.011838;0.000873;0.024651
71;1;3;0.006192;0.011291;0.012357;0.001034;0.025434
71;1;3;0.004864;0.009579;0.011995;0.000889;0.023145
72;1;3;0.005253;0.011106;0.013202;0.000901;0.025897
72;1;3;0.006227;0.010425;0.012870;0.000938;0.024945
72;1;3;0.004911;0.009500;0.011486;0.001295;0.022962
73;1;3;0.004745;0.010407;0.012262;0.000888;0.024290
73;1;3;0.007830;0.012375;0.013880;0.000905;0.028096
73;1;3;0.005519;0.009856;0.012079;0.000893;0.023530
74;1;3;0.005816;0.012075;0.013411;0.000959;0.027176
74;1;3;0.007019;0.012384;0.012090;0.001092;0.026330
74;1;3;0.005169;0.010627;0.013425;0.000932;0.025668
75;1;3;0.005538;0.011978;0.011842;0.000882;0.025459
75;1;3;0.006437;0.009974;0.011867;0.000875;0.023348
75;1;3;0.005010;0.010718;0.012631;0.000881;0.024894
76;1;3;0.005449;0.013043;0.012223;0.000932;0.026933
76;1;3;0.006580;0.010671;0.011774;0.000970;0.024166
76;1;3;0.004889;0.010850;0.012161;0.000892;0.024523
77;1;3;0.004872;0.011880;0.012339;0.000885;0.025866
77;1;3;0.006533;0.010480;0.012211;0.000880;0.024202
77;1;3;0.004783;0.010162;0.012822;0.000891;0.024479
78;1;3;0.004877;0.011521;0.012388;0.000925;0.025436
78;1;3;0.006431;0.010477;0.011980;0.001135;0.024398
78;1;3;0.004890;0.009132;0.012052;0.000883;0.022788
79;1;3;0.004990;0.010374;0.012305;0.001242;0.024522
79;1;3;0.006547;0.009996;0.012833;0.000879;0.024368
79;1;3;0.004817;0.010098;0.011909;0.001071;0.023686
80;1;3;0.005175;0.010188;0.012973;0.000889;0.024655
80;1;3;0.006337;0.009678;0.012166;0.001047;0.023478
80;1;3;0.004843;0.010407;0.011732;0.000868;0.023606
81;1;3;0.004969;0.010769;0.011808;0.000896;0.024065
81;1;3;0.006756;0.009258;0.011650;0.001336;0.022848
81;1;3;0.005276;0.009527;0.011951;0.000875;0.022936
82;1;3;0.004741;0.010706;0.011852;0.001148;0.024269
82;1;3;0.006855;0.009699;0.011677;0.000871;0.022813
82;1;3;0.004780;0.010013;0.011687;0.000869;0.023171
83;1;3;0.005840;0.009845;0.011831;0.000941;0.023188
83;1;3;0.006362;0.009943;0.011679;0.001196;0.023613
83;1;3;0.004855;0.010260;0.011841;0.000879;0.023547
84;1;3;0.004885;0.010018;0.011935;0.000935;0.023878
84;1;3;0.006291;0.009823;0.011971;0.000877;0.023242
84;1;3;0.004741;0.009644;0.012789;0.000881;0.023868
85;1;3;0.004750;0.011759;0.012340;0.000873;0.025756
85;1;3;0.006153;0.009273;0.012490;0.000873;0.023188
85;1;3;0.004955;0.009633;0.012261;0.000879;0.023348
86;1;3;0.005064;0.010599;0.012073;0.000916;0.024118
86;1;3;0.006117;0.009129;0.012332;0.000887;0.022934
86;1;3;0.005238;0.008860;0.012328;0.000958;0.022670
87;1;3;0.004809;0.010482;0.012331;0.000882;0.024227
87;1;3;0.006671;0.009526;0.012197;0.000976;0.023496
87;1;3;0.005720;0.009897;0.012047;0.000869;0.023358
88;1;3;0.005927;0.010760;0.012486;0.001115;0.024930
88;1;3;0.006930;0.009790;0.011909;0.000881;0.023335
88;1;3;0.006002;0.010036;0.012229;0.000866;0.023676
89;1;3;0.004987;0.010562;0.012252;0.000888;0.024503
89;1;3;0.007372;0.009704;0.011936;0.000890;0.023084
89;1;3;0.005099;0.011121;0.011945;0.000908;0.024550
90;1;3;0.006276;0.012571;0.015146;0.001010;0.029496
90;1;3;0.007056;0.009650;0.013173;0.000920;0.024279
90;1;3;0.005032;0.009696;0.014497;0.001030;0.025831
91;1;3;0.005561;0.011156;0.012822;0.000910;0.025396
91;1;3;0.006241;0.009921;0.012571;0.000877;0.023936
91;1;3;0.004834;0.009247;0.012645;0.000894;0.023355
92;1;3;0.005031;0.010043;0.012852;0.000877;0.024276
92;1;3;0.006477;0.009309;0.012467;0.000873;0.023155
92;1;3;0.004945;0.009413;0.012144;0.001032;0.023156
93;1;3;0.004868;0.010755;0.012590;0.000888;0.024751
93;1;3;0.007122;0.009550;0.012156;0.000978;0.023193
93;1;3;0.004948;0.009479;0.012040;0.000867;0.022896
94;1;3;0.005192;0.009136;0.013036;0.000877;0.023591
94;1;3;0.007312;0.009633;0.012476;0.000877;0.023559
94;1;3;0.005043;0.008920;0.012162;0.000865;0.022562
95;1;3;0.005293;0.009328;0.014174;0.000905;0.024911
95;1;3;0.007011;0.010293;0.012056;0.000881;0.024029
95;1;3;0.005394;0.009446;0.012285;0.000866;0.023195
96;1;3;0.005586;0.009512;0.013135;0.000882;0.024053
96;1;3;0.006457;0.009344;0.012178;0.000871;0.022911
96;1;3;0.004993;0.009473;0.012399;0.000869;0.023317
97;1;3;0.006169;0.009448;0.012357;0.001032;0.023368
97;1;3;0.006994;0.010062;0.012270;0.000866;0.023691
97;1;3;0.004795;0.008990;0.013377;0.000911;0.023855
98;1;3;0.005742;0.010434;0.012592;0.000874;0.024416
98;1;3;0.006252;0.009879;0.012382;0.000949;0.023950
98;1;3;0.004906;0.009055;0.013219;0.001004;0.023868
99;1;3;0.004896;0.010109;0.013124;0.001049;0.024762
99;1;3;0.006634;0.009047;0.013142;0.000880;0.023553
99;1;3;0.004831;0.008633;0.012977;0.000882;0.022954
100;1;3;0.005058;0.008906;0.013184;0.001050;0.023617
100;1;3;0.006525;0.007934;0.013099;0.000880;0.022366
100;1;3;0.004865;0.008241;0.012056;0.000868;0.021632
